# NMF 0.28, method brunet, 200 iterations from W0/H0 on V + 0.1; R version 4.5.2 (2025-10-31 ucrt)
block	i	j	value
V	6	19	2
V	7	19	1
V	8	19	0
V	9	19	1
V	10	19	0
V	11	19	0
V	12	19	1
V	13	19	0
V	14	19	0
V	15	19	1
V	16	19	2
V	17	19	2
V	18	19	1
V	19	19	0
V	20	19	0
V	21	19	0
V	22	19	0
V	23	19	3
V	24	19	0
V	25	19	0
V	26	19	0
V	27	19	0
V	28	19	0
V	29	19	0
V	30	19	0
V	31	19	0
V	32	19	1
V	33	19	3
V	34	19	0
V	35	19	20
V	36	19	2
V	37	19	0
V	38	19	0
V	39	19	9
V	40	19	1
V	41	19	0
V	42	19	0
V	43	19	12
V	44	19	1
V	45	19	0
V	46	19	1
V	47	19	2
V	48	19	0
V	49	19	1
V	50	19	0
V	51	19	1
V	52	19	1
V	53	19	0
V	54	19	0
V	55	19	0
V	56	19	0
V	57	19	0
V	58	19	1
V	59	19	0
V	60	19	0
V	61	19	1
V	62	19	1
V	63	19	0
V	64	19	0
V	65	19	0
V	66	19	3
V	67	19	4
V	68	19	3
V	69	19	0
V	70	19	1
V	71	19	1
V	72	19	1
V	73	19	0
V	74	19	1
V	75	19	2
V	76	19	0
V	77	19	1
V	78	19	0
V	79	19	3
V	80	19	1
V	81	19	0
V	82	19	2
V	83	19	1
V	84	19	1
V	85	19	0
V	86	19	1
V	87	19	0
V	88	19	0
V	89	19	0
V	90	19	0
V	91	19	1
V	92	19	0
V	93	19	0
V	94	19	0
V	95	19	1
V	96	19	0
V	1	20	0
V	2	20	0
V	3	20	0
V	4	20	0
V	5	20	0
V	6	20	0
V	7	20	0
V	8	20	0
V	9	20	0
V	10	20	0
V	11	20	0
V	12	20	0
V	13	20	0
V	14	20	0
V	15	20	0
V	16	20	0
V	17	20	0
V	18	20	0
V	19	20	0
V	20	20	0
V	21	20	0
V	22	20	0
V	23	20	0
V	24	20	0
V	25	20	0
V	26	20	0
V	27	20	0
V	28	20	0
V	29	20	0
V	30	20	0
V	31	20	0
V	32	20	1
V	33	20	0
V	34	20	0
V	35	20	0
V	36	20	0
V	37	20	0
V	38	20	0
V	39	20	2
V	40	20	0
V	41	20	0
V	42	20	0
V	43	20	0
V	44	20	0
V	45	20	1
V	46	20	1
V	47	20	2
V	48	20	5
V	49	20	0
V	50	20	0
V	51	20	0
V	52	20	0
V	53	20	0
V	54	20	0
V	55	20	0
V	56	20	0
V	57	20	0
V	58	20	0
V	59	20	0
V	60	20	0
V	61	20	0
V	62	20	0
V	63	20	0
V	64	20	0
V	65	20	0
V	66	20	0
V	67	20	0
V	68	20	1
V	69	20	0
V	70	20	0
V	71	20	0
V	72	20	0
V	73	20	0
V	74	20	0
V	75	20	0
V	76	20	0
V	77	20	1
V	78	20	0
V	79	20	1
V	80	20	0
V	81	20	0
V	82	20	0
V	83	20	0
V	84	20	0
V	85	20	0
V	86	20	0
V	87	20	0
V	88	20	0
V	89	20	0
V	90	20	0
V	91	20	0
V	92	20	0
V	93	20	0
V	94	20	0
V	95	20	0
V	96	20	0
V	1	21	5
V	2	21	3
V	3	21	1
V	4	21	0
V	5	21	0
V	6	21	0
V	7	21	2
V	8	21	3
V	9	21	3
V	10	21	1
V	11	21	0
V	12	21	2
V	13	21	1
V	14	21	0
V	15	21	0
V	16	21	3
V	17	21	1
V	18	21	1
V	19	21	2
V	20	21	0
V	21	21	1
V	22	21	3
V	23	21	2
V	24	21	0
V	25	21	0
V	26	21	0
V	27	21	0
V	28	21	1
V	29	21	1
V	30	21	0
V	31	21	2
V	32	21	3
V	33	21	8
V	34	21	3
V	35	21	48
V	36	21	4
V	37	21	6
V	38	21	2
V	39	21	30
V	40	21	6
V	41	21	4
V	42	21	6
V	43	21	29
V	44	21	2
V	45	21	1
V	46	21	3
V	47	21	22
V	48	21	3
V	49	21	0
V	50	21	0
V	51	21	2
V	52	21	1
V	53	21	2
V	54	21	0
V	55	21	1
V	56	21	1
V	57	21	2
V	58	21	3
V	59	21	1
V	60	21	1
V	61	21	1
V	62	21	1
V	63	21	1
V	64	21	1
V	65	21	4
V	66	21	3
V	67	21	6
V	68	21	2
V	69	21	1
V	70	21	1
V	71	21	1
V	72	21	2
V	73	21	2
V	74	21	1
V	75	21	2
V	76	21	1
V	77	21	4
V	78	21	1
V	79	21	0
V	80	21	4
V	81	21	1
V	82	21	0
V	83	21	0
V	84	21	1
V	85	21	1
V	86	21	1
V	87	21	0
V	88	21	0
V	89	21	2
V	90	21	2
V	91	21	1
V	92	21	0
V	93	21	1
V	94	21	2
V	95	21	1
V	96	21	1
V	1	22	0
V	2	22	0
V	3	22	0
V	4	22	0
V	5	22	0
V	6	22	0
V	7	22	0
V	8	22	0
V	9	22	0
V	10	22	0
V	11	22	0
V	12	22	0
V	13	22	0
V	14	22	0
V	15	22	0
V	16	22	0
V	17	22	0
V	18	22	0
V	19	22	0
V	20	22	0
V	21	22	0
V	22	22	0
V	23	22	0
V	24	22	0
V	25	22	0
V	26	22	0
V	27	22	0
V	28	22	0
V	29	22	2
V	30	22	0
V	31	22	0
V	32	22	1
V	33	22	0
V	34	22	0
V	35	22	1
V	36	22	0
V	37	22	0
V	38	22	0
V	39	22	0
V	40	22	0
V	41	22	0
V	42	22	0
V	43	22	0
V	44	22	0
V	45	22	1
V	46	22	1
V	47	22	0
V	48	22	0
V	49	22	0
V	50	22	0
V	51	22	0
V	52	22	0
V	53	22	0
V	54	22	0
V	55	22	0
V	56	22	0
V	57	22	0
V	58	22	0
V	59	22	0
V	60	22	0
V	61	22	0
V	62	22	0
V	63	22	0
V	64	22	0
V	65	22	0
V	66	22	0
V	67	22	0
V	68	22	0
V	69	22	0
V	70	22	0
V	71	22	0
V	72	22	0
V	73	22	0
V	74	22	0
V	75	22	0
V	76	22	0
V	77	22	0
V	78	22	0
V	79	22	0
V	80	22	0
V	81	22	0
V	82	22	0
V	83	22	0
V	84	22	0
V	85	22	0
V	86	22	0
V	87	22	0
V	88	22	0
V	89	22	0
V	90	22	0
V	91	22	0
V	92	22	0
V	93	22	0
V	94	22	0
V	95	22	0
V	96	22	0
V	1	23	1
V	2	23	3
V	3	23	1
V	4	23	1
V	5	23	4
V	6	23	2
V	7	23	0
V	8	23	2
V	9	23	1
V	10	23	1
V	11	23	0
V	12	23	0
V	13	23	1
V	14	23	0
V	15	23	0
V	16	23	1
V	17	23	2
V	18	23	5
V	19	23	2
V	20	23	2
V	21	23	0
V	22	23	4
V	23	23	2
V	24	23	3
V	25	23	0
V	26	23	1
V	27	23	1
V	28	23	1
V	29	23	3
V	30	23	3
V	31	23	0
V	32	23	2
V	33	23	3
V	34	23	2
V	35	23	18
V	36	23	2
V	37	23	5
V	38	23	2
V	39	23	10
V	40	23	2
V	41	23	5
V	42	23	0
V	43	23	11
V	44	23	1
V	45	23	1
V	46	23	4
V	47	23	2
V	48	23	2
V	49	23	3
V	50	23	1
V	51	23	1
V	52	23	4
V	53	23	0
V	54	23	1
V	55	23	4
V	56	23	1
V	57	23	2
V	58	23	0
V	59	23	1
V	60	23	2
V	61	23	1
V	62	23	1
V	63	23	0
V	64	23	4
V	65	23	3
V	66	23	1
V	67	23	2
V	68	23	1
V	69	23	2
V	70	23	1
V	71	23	0
V	72	23	1
V	73	23	0
V	74	23	2
V	75	23	1
V	76	23	1
V	77	23	3
V	78	23	1
V	79	23	3
V	80	23	5
V	81	23	1
V	82	23	0
V	83	23	4
V	84	23	0
V	85	23	1
V	86	23	0
V	87	23	0
V	88	23	3
V	89	23	1
V	90	23	1
V	91	23	1
V	92	23	1
V	93	23	3
V	94	23	0
V	95	23	0
V	96	23	0
V	1	24	0
V	2	24	0
V	3	24	0
V	4	24	0
V	5	24	0
V	6	24	0
V	7	24	0
V	8	24	0
V	9	24	0
V	10	24	0
V	11	24	0
V	12	24	1
V	13	24	0
V	14	24	0
V	15	24	0
V	16	24	0
V	17	24	0
V	18	24	1
V	19	24	0
V	20	24	0
V	21	24	1
V	22	24	0
V	23	24	0
V	24	24	0
V	25	24	0
V	26	24	0
V	27	24	0
V	28	24	0
V	29	24	0
V	30	24	0
V	31	24	0
V	32	24	0
V	33	24	1
V	34	24	0
V	35	24	5
V	36	24	0
V	37	24	0
V	38	24	1
V	39	24	3
V	40	24	0
V	41	24	0
V	42	24	1
V	43	24	6
V	44	24	1
V	45	24	0
V	46	24	0
V	47	24	0
V	48	24	0
V	49	24	0
V	50	24	0
V	51	24	0
V	52	24	0
V	53	24	0
V	54	24	0
V	55	24	0
V	56	24	0
V	57	24	0
V	58	24	0
V	59	24	0
V	60	24	0
V	61	24	0
V	62	24	0
V	63	24	0
V	64	24	0
V	65	24	1
V	66	24	0
V	67	24	0
V	68	24	1
V	69	24	0
V	70	24	0
V	71	24	0
V	72	24	0
V	73	24	0
V	74	24	0
V	75	24	0
V	76	24	0
V	77	24	0
V	78	24	0
V	79	24	0
V	80	24	0
V	81	24	0
V	82	24	0
V	83	24	0
V	84	24	0
V	85	24	1
V	86	24	0
V	87	24	0
V	88	24	0
V	89	24	0
V	90	24	0
V	91	24	0
V	92	24	0
V	93	24	0
V	94	24	0
V	95	24	0
V	96	24	0
W0	1	1	0.85367973776534201
W0	2	1	0.039466162202879788
W0	3	1	0.013972481703385711
W0	4	1	0.23348812501877547
W0	5	1	0.39601508107967676
W0	6	1	0.25955057306215168
W0	7	1	0.80245351906865836
W0	8	1	0.55239483852870763
W0	9	1	0.036623360347002747
W0	10	1	0.74600402683950962
W0	11	1	0.41759129938669504
W0	12	1	0.18750626243650914
W0	13	1	0.42880982625298203
W0	14	1	0.24390483669936658
W0	15	1	0.41638416120782495
W0	16	1	0.61879219183698297
W0	17	1	0.80745092312805355
W0	18	1	0.8337305369693786
W0	19	1	0.75316776567138732
W0	20	1	0.40661271497607232
W0	21	1	0.56638161394745112
W0	22	1	0.74114805831573904
W0	23	1	0.6040324878320098
W0	24	1	0.9396079317573458
W0	25	1	0.77405973895452918
W0	26	1	0.93378319101408125
W0	27	1	0.26204613246023656
W0	28	1	0.6409988598804921
W0	29	1	0.056427575871348383
W0	30	1	0.10579665167257189
W0	31	1	0.38428496615029872
W0	32	1	0.68354170372709633
W0	33	1	0.20866916979663075
W0	34	1	0.83944316649809481
W0	35	1	0.53162175811827184
W0	36	1	0.69068275786936284
W0	37	1	0.81875033792108298
W0	38	1	0.50629902536980809
W0	39	1	0.42120455530472101
W0	40	1	0.51824118009768427
W0	41	1	0.60064547601155938
W0	42	1	0.47369583345949651
W0	43	1	0.7687470782455057
W0	44	1	0.65169858652167023
W0	45	1	0.88815945083275438
W0	46	1	0.24822441464290024
W0	47	1	0.022757284566760065
W0	48	1	0.31965725495480002
W0	49	1	0.3815023163240403
W0	50	1	0.16850054565817119
W0	51	1	0.16147799532860518
W0	52	1	0.70650549371726812
W0	53	1	0.90177597896195949
W0	54	1	0.44434287724085153
W0	55	1	0.95959977408871056
W0	56	1	0.78128365891985596
W0	57	1	0.83488015736453236
W0	58	1	0.055473016798496248
W0	59	1	0.38627081200480462
W0	60	1	0.82249367748387159
W0	61	1	0.98436286578886212
W0	62	1	0.27062008342705668
W0	63	1	0.2483628566749394
W0	64	1	0.55156847833655775
W0	65	1	0.72222138893790544
W0	66	1	0.62752496403642
W0	67	1	0.30574526497162879
W0	68	1	0.36560070513747633
W0	69	1	0.23872550855390728
W0	70	1	0.63526597455143929
W0	71	1	0.80331498104147614
W0	72	1	0.5667629800643772
W0	73	1	0.51678395410068334
W0	74	1	0.58440394419245423
W0	75	1	0.15097533305175603
W0	76	1	0.40828766253776849
W0	77	1	0.98769385506398977
W0	78	1	0.41372592699714006
W0	79	1	0.82983088538981975
W0	80	1	0.81075039947405458
W0	81	1	0.20476128439418972
W0	82	1	0.5243730549607426
W0	83	1	0.184737659515813
W0	84	1	0.06963984527625143
W0	85	1	0.6142238436639309
W0	86	1	0.3669940384477377
W0	87	1	0.64219899241812528
W0	88	1	0.12704063042998315
W0	89	1	0.43957361112348736
W0	90	1	0.69187274900265039
W0	91	1	0.91542283328250051
W0	92	1	0.60818681469187141
W0	93	1	0.94923550844192506
W0	94	1	0.35997455566190184
W0	95	1	0.79522144211456181
W0	96	1	0.58960550813004375
W0	1	2	0.40077371056191624
W0	2	2	0.46307468064129353
W0	3	2	0.47491617243736983
W0	4	2	0.75788563721813262
W0	5	2	0.56528149660676719
W0	6	2	0.58134582428261639
W0	7	2	0.047284376565366985
W0	8	2	0.71528588490560652
W0	9	2	0.39653898728080095
W0	10	2	0.83685962668620051
W0	11	2	0.54341754619032145
W0	12	2	0.78406586450524629
W0	13	2	0.20288890017196537
W0	14	2	0.32389120197854937
W0	15	2	0.32824861932545901
W0	16	2	0.99826145776547492
W0	17	2	0.560525585655123
W0	18	2	0.38812735931947828
W0	19	2	0.44948967847973109
W0	20	2	0.29701060265302659
W0	21	2	0.25724432989023627
W0	22	2	0.15438806171528996
W0	23	2	0.81197113333269955
W0	24	2	0.99524823575280608
W0	25	2	0.47161235123872758
W0	26	2	0.58647984311915935
W0	27	2	0.22884365170262755
W0	28	2	0.06239797802641988
W0	29	2	0.01291567319072783
W0	30	2	0.75107768363319338
W0	31	2	0.88999927648343147
W0	32	2	0.89985799904912711
W0	33	2	0.98646380541846157
W0	34	2	0.21951165189035238
W0	35	2	0.81877353926189245
W0	36	2	0.64338807248510421
W0	37	2	0.79381065512076021
W0	38	2	0.80389618197456003
W0	39	2	0.90594739512540401
W0	40	2	0.56036005168221892
W0	41	2	0.46625478262081743
W0	42	2	0.31890413071028889
W0	43	2	0.64676233566366137
W0	44	2	0.35900398296304048
W0	45	2	0.46826322562061251
W0	46	2	0.090922082066535945
W0	47	2	0.6613380038086325
W0	48	2	0.1846093339752406
W0	49	2	0.33013081060722471
W0	50	2	0.26298884348012508
W0	51	2	0.10462621062994003
W0	52	2	0.4693706512823701
W0	53	2	0.23039608634077013
W0	54	2	0.48902855114080013
W0	55	2	0.026873018816113474
W0	56	2	0.80862989415414632
W0	57	2	0.070875656316056843
W0	58	2	0.03819399628788233
W0	59	2	0.31705450638197363
W0	60	2	0.35452964691445232
W0	61	2	0.20965687696821989
W0	62	2	0.57894392147660256
W0	63	2	0.50994241353124381
W0	64	2	0.16755387302488089
W0	65	2	0.41758877759799362
W0	66	2	0.93930554132908584
W0	67	2	0.6776266163121909
W0	68	2	0.73789550502784551
W0	69	2	0.9166646951250732
W0	70	2	0.38451464333571495
W0	71	2	0.56123281665146352
W0	72	2	0.47237941272556783
W0	73	2	0.032423402639105918
W0	74	2	0.28854950865730644
W0	75	2	0.82120773637667299
W0	76	2	0.39609598414041103
W0	77	2	0.17616788553074003
W0	78	2	0.45797958270646633
W0	79	2	0.70877014146186412
W0	80	2	0.65424497075378896
W0	81	2	0.30876310913823546
W0	82	2	0.95552956032566727
W0	83	2	0.19045580363832415
W0	84	2	0.41133952442556621
W0	85	2	0.60017560281790794
W0	86	2	0.13854539207182825
W0	87	2	0.52023786212317646
W0	88	2	0.99970011970959605
W0	89	2	0.1460017063561827
W0	90	2	0.18973634880036117
W0	91	2	0.13495542992837728
W0	92	2	0.014636669997125864
W0	93	2	0.42462268843315543
W0	94	2	0.60708363004028798
W0	95	2	0.44310208059847356
W0	96	2	0.057470669727772476
W0	1	3	0.10115376556292176
W0	2	3	0.39115423521958292
W0	3	3	0.89428653124719859
W0	4	3	0.77251106546260417
W0	5	3	0.45684580154716969
W0	6	3	0.9517985265608877
W0	7	3	0.84791861101053656
W0	8	3	1.0063536781724542
W0	9	3	0.79707401896826924
W0	10	3	0.032850633831694724
W0	11	3	0.95358107191510499
W0	12	3	0.68452886071987451
W0	13	3	0.53463368489407004
W0	14	3	0.8693792726751417
W0	15	3	0.26020950939506293
W0	16	3	0.55021010990254582
W0	17	3	0.238224515914917
W0	18	3	0.095184625815600152
W0	19	3	0.48120752534829081
W0	20	3	0.32009690300561489
W0	21	3	0.76327455298975111
W0	22	3	0.48302767913788558
W0	23	3	0.29039881866425277
W0	24	3	0.12948431585915388
W0	25	3	0.31658609070815147
W0	26	3	0.015128871649503708
W0	27	3	0.75162661167792977
W0	28	3	0.87860417318530382
W0	29	3	0.77134655461646617
W0	30	3	0.84556639798916877
W0	31	3	0.10987791161984205
W0	32	3	0.76692253164015711
W0	33	3	0.27374692912213505
W0	34	3	0.23406089748255909
W0	35	3	0.69663195543922485
W0	36	3	0.65516406599432231
W0	37	3	0.55003260005265475
W0	38	3	0.41434936829842628
W0	39	3	0.20527649134397508
W0	40	3	0.045479751648381354
W0	41	3	0.92668579424731434
W0	42	3	0.78938100788742305
W0	43	3	0.51037150690332056
W0	44	3	0.39875926635228098
W0	45	3	0.63298275553621353
W0	46	3	0.088284324612468476
W0	47	3	0.54019396751187743
W0	48	3	0.72610371535643936
W0	49	3	0.55153536399826408
W0	50	3	0.8665725616645068
W0	51	3	0.36279434826225043
W0	52	3	0.61739410808309914
W0	53	3	0.53901865006424488
W0	54	3	0.37052937386557461
W0	55	3	0.48337809973396362
W0	56	3	0.25388481583446265
W0	57	3	0.79635797440074385
W0	58	3	0.90640822657383979
W0	59	3	0.56585627350956202
W0	60	3	0.48317409538663925
W0	61	3	0.32393386586569251
W0	62	3	0.73378838364966215
W0	63	3	0.30672712134197355
W0	64	3	0.14191301818005742
W0	65	3	0.47298289508558811
W0	66	3	0.65847737923264504
W0	67	3	0.73258859756402672
W0	68	3	0.63347182049416006
W0	69	3	0.62643126560375095
W0	70	3	1.0008012105152011
W0	71	3	0.37488920962437988
W0	72	3	0.32919810618273915
W0	73	3	0.49046487825922669
W0	74	3	0.018721009129658343
W0	75	3	0.073244196120649571
W0	76	3	0.89149042171426118
W0	77	3	0.3310513738449663
W0	78	3	0.15530264958739282
W0	79	3	0.61840912000276149
W0	80	3	0.9886414708942175
W0	81	3	0.41361754898913206
W0	82	3	0.21005498407408596
W0	83	3	0.21370588754303754
W0	84	3	0.47464481414295734
W0	85	3	0.37054604570381344
W0	86	3	0.41482198051176966
W0	87	3	0.7327155133150518
W0	88	3	0.11707372101023793
W0	89	3	0.023761533424258234
W0	90	3	0.72888586226850749
W0	91	3	0.072984804855659599
W0	92	3	0.15782895497046412
W0	93	3	0.15809943432919682
W0	94	3	0.22424930030480028
W0	95	3	0.79924079192802311
W0	96	3	0.31928710009902717
W0	1	4	0.87413665884174407
W0	2	4	0.72347172441892327
W0	3	4	0.40664174965582789
W0	4	4	0.91570253529585899
W0	5	4	0.59088809088803829
W0	6	4	0.81259557813405991
W0	7	4	0.085043667806312437
W0	8	4	0.33488442095927895
W0	9	4	0.20813343766145409
W0	10	4	0.29106139763258398
W0	11	4	0.41762564074248076
W0	12	4	0.23408374538645149
W0	13	4	0.87499926703982056
W0	14	4	0.50344370979815722
W0	15	4	1.0034783789794892
W0	16	4	0.1235237249545753
W0	17	4	0.41022623981349171
W0	18	4	0.6671768664289266
W0	19	4	0.28875819057226182
W0	20	4	0.99089541215449572
W0	21	4	0.21228455960750581
W0	22	4	0.14764657871797682
W0	23	4	0.056927868155762555
W0	24	4	0.94510580412112177
W0	25	4	0.29085782425478102
W0	26	4	0.39171144691295923
W0	27	4	0.404395065959543
W0	28	4	0.4804947853460908
W0	29	4	0.37621631612069906
W0	30	4	0.78215656568296255
W0	31	4	0.50686901643872262
W0	32	4	0.12405774508602917
W0	33	4	0.046815242609009149
W0	34	4	0.092849327940493817
W0	35	4	0.21704570878297091
W0	36	4	0.66350588131695987
W0	37	4	0.43913799197413028
W0	38	4	0.64463142514228822
W0	39	4	0.57070613255724312
W0	40	4	0.53944151940755547
W0	41	4	0.65293523062951864
W0	42	4	0.24293504398316146
W0	43	4	0.64921677204780281
W0	44	4	0.27160921389237047
W0	45	4	0.3755106166843325
W0	46	4	0.12020092596299946
W0	47	4	0.078039305973798032
W0	48	4	0.4392326297145337
W0	49	4	0.018866723394021394
W0	50	4	0.62442187894135714
W0	51	4	0.018102613268420102
W0	52	4	0.10755229018628597
W0	53	4	0.17265690349973739
W0	54	4	0.45469446572475136
W0	55	4	0.12802740907296539
W0	56	4	0.74626163601875306
W0	57	4	0.067854885933920736
W0	58	4	0.55234182322397829
W0	59	4	0.29382159234024585
W0	60	4	0.35872990031726659
W0	61	4	0.19532483046874405
W0	62	4	0.24950946424156428
W0	63	4	0.16345707931555808
W0	64	4	0.52087524229660631
W0	65	4	0.48704219492152334
W0	66	4	0.91714986203238369
W0	67	4	0.59198036951944233
W0	68	4	0.20939704262651504
W0	69	4	0.44329160823486746
W0	70	4	0.88431056145578624
W0	71	4	0.18806935240514577
W0	72	4	0.90788120822049678
W0	73	4	0.04065158845856786
W0	74	4	0.5459862290788442
W0	75	4	0.12885281116701663
W0	76	4	0.77755389734171332
W0	77	4	0.239181143688038
W0	78	4	0.58939301314763726
W0	79	4	0.26025349366478623
W0	80	4	0.056442542225122454
W0	81	4	0.57720731011591853
W0	82	4	0.61609878413379193
W0	83	4	0.50272672180086375
W0	84	4	0.75523840099573136
W0	85	4	0.45195245159789921
W0	86	4	0.24897474817931653
W0	87	4	0.33588063227012754
W0	88	4	0.34881052024662496
W0	89	4	0.23357037290930749
W0	90	4	0.19437365628778935
W0	91	4	0.40892702805809678
W0	92	4	0.094261187352240081
W0	93	4	0.39254352635703982
W0	94	4	0.33804613886401058
W0	95	4	0.95131189724430443
W0	96	4	0.071773786321282382
H0	1	1	0.58552232407033444
H0	2	1	0.39053047796711327
H0	3	1	0.81680691008456052
H0	4	1	0.53383523550815881
H0	1	2	0.46654042810201646
H0	2	2	0.74928700387477876
H0	3	2	0.80975159699097277
H0	4	2	0.39750271615572275
H0	1	3	0.86788420611061157
H0	2	3	0.85388171904720367
H0	3	3	0.54146306984126569
H0	4	3	0.15376175054349006
H0	1	4	0.66344116184860469
H0	2	4	0.4176326892245561
H0	3	4	0.99383646202273668
H0	4	4	0.5138979989476502
H0	1	5	0.33187612121924759
H0	2	5	0.79110849554650486
H0	3	5	0.048825870258733632
H0	4	5	0.064155059158802027
H0	1	6	0.96734609011560679
H0	2	6	0.97423139865510167
H0	3	6	0.41695456741377712
H0	4	6	0.85935219842009247
H0	1	7	0.89681735680438579
H0	2	7	0.22978726750239731
H0	3	7	0.047391036050394179
H0	4	7	0.11849865083582699
H0	1	8	0.064600621340796346
H0	2	8	0.53669026912190021
H0	3	8	0.96330971363000573
H0	4	8	0.86891682887449861
H0	1	9	0.90247317845001818
H0	2	9	0.76555981206707657
H0	3	9	0.25079304351471365
H0	4	9	0.51676828436553479
H0	1	10	0.065339429061859841
H0	2	10	0.73864334634505213
H0	3	10	0.95269985263235868
H0	4	10	0.013326147329062224
H0	1	11	0.50997731391340495
H0	2	11	0.025863047214224937
H0	3	11	0.083060767026618118
H0	4	11	0.37924699530936778
H0	1	12	0.53723949868232013
H0	2	12	0.43179072019644082
H0	3	12	0.0105727952811867
H0	4	12	0.55030625522136689
H0	1	13	0.96226557459682227
H0	2	13	0.33976551819592715
H0	3	13	0.6308616215735674
H0	4	13	0.55384003183804453
H0	1	14	0.36392898134887219
H0	2	14	0.020718388948589565
H0	3	14	0.1984197669569403
H0	4	14	0.18549288948066534
H0	1	15	0.83849258650094272
H0	2	15	0.55305982263758779
H0	3	15	0.53765146526508034
H0	4	15	0.81307040968909861
H0	1	16	0.60039601217955352
H0	2	16	0.72778686228208245
H0	3	16	0.14194040767848493
H0	4	16	0.059297473859041931
H0	1	17	0.62936233518645168
H0	2	17	0.044413280198350551
H0	3	17	0.19846813822165132
H0	4	17	0.022645067647099497
H0	1	18	0.34102365699596704
H0	2	18	1.0094844330940396
H0	3	18	0.92350602917373181
H0	4	18	0.65209388778544963
H0	1	19	0.40914166554808618
H0	2	19	0.12641654558479787
H0	3	19	0.50848566879518331
H0	4	19	0.60208594309166075
H0	1	20	1.0084792789909989
H0	2	20	0.32073487573303283
H0	3	20	0.2370172187127173
H0	4	20	0.19685255851596595
H0	1	21	0.2333478487469256
H0	2	21	0.75727997207082809
H0	3	21	0.016567955249920489
H0	4	21	0.090963211599737401
H0	1	22	0.053164773844182493
H0	2	22	0.63649497762322427
H0	3	22	0.80596420517191292
H0	4	22	0.91592946275137366
H0	1	23	0.027490476602688434
H0	2	23	0.68898776778019966
H0	3	23	0.63901274394243957
H0	4	23	0.37430636141449214
H0	1	24	0.21714904181659223
H0	2	24	0.83482166728004814
H0	3	24	0.59158491645008326
H0	4	24	0.072164605595171447
W	1	1	1.7299261299044608
W	2	1	0.26664808073963209
W	3	1	0.13647950981990128
W	4	1	0.28023691718602883
W	5	1	2.5629064162452723e-11
W	6	1	0.075320694303183972
W	7	1	0.6845990128923406
W	8	1	0.5101098485036597
W	9	1	0.82018201606928332
W	10	1	0.51964862843637405
W	11	1	0.099277481650875354
W	12	1	0.57791047810841101
W	13	1	2.8899434300920668e-05
W	14	1	0.18785546076517376
W	15	1	0.081167818655840648
W	16	1	1.5719352237675992
W	17	1	0.59934389433852286
W	18	1	0.79046182654981845
W	19	1	0.045361227933879256
W	20	1	0.15899295936666694
W	21	1	0.69826515963339608
W	22	1	1.0909858411845753e-05
W	23	1	1.1142342621719923
W	24	1	0.28371790541194691
W	25	1	0.0074404795618916017
W	26	1	0.0043656150040986344
W	27	1	0.041632218732169969
W	28	1	0.047930228805129003
W	29	1	0.14826994611563071
W	30	1	0.025339341388271763
W	31	1	0.24442247812630116
W	32	1	0.26907483974836299
W	33	1	1.0115501542967118
W	34	1	0.48013918083642204
W	35	1	3.1625995059358418
W	36	1	0.33957979825618978
W	37	1	1.3908359817813449
W	38	1	0.41754905132897197
W	39	1	1.7859943391494779
W	40	1	0.82761746722569995
W	41	1	0.001336106677595832
W	42	1	0.32920859388642953
W	43	1	3.046850644447388
W	44	1	0.70975615859354046
W	45	1	0.074649609046114576
W	46	1	0.00015893464350731127
W	47	1	2.2204460492503131e-16
W	48	1	4.8705504326176514e-13
W	49	1	0.55455283075217066
W	50	1	0.092017902513619312
W	51	1	0.4108459151216598
W	52	1	0.51780338267511827
W	53	1	0.36456365055409384
W	54	1	0.0094465224833444501
W	55	1	5.3806241913750303e-13
W	56	1	0.11436184887122555
W	57	1	0.032751170846954628
W	58	1	0.37932483714468695
W	59	1	0.01677595172166485
W	60	1	8.9144158873044719e-12
W	61	1	0.73420156271447112
W	62	1	0.48944938938076937
W	63	1	0.018123907097783457
W	64	1	2.2204460492503131e-16
W	65	1	1.2972965257979665
W	66	1	0.32127510356941552
W	67	1	0.14166619686566645
W	68	1	0.5377023306235964
W	69	1	0.20268924262972951
W	70	1	0.90023185603890066
W	71	1	0.57596138022438692
W	72	1	0.0449519125842964
W	73	1	0.22849917912119594
W	74	1	0.81160277565021455
W	75	1	0.0074529439296122865
W	76	1	2.2204460492503131e-16
W	77	1	0.21637685188719855
W	78	1	0.6515851044267027
W	79	1	0.50748010907389252
W	80	1	2.2204460492503131e-16
W	81	1	0.4152013869484027
W	82	1	0.10883732988918665
W	83	1	0.41652337881244156
W	84	1	0.49204522597022754
W	85	1	0.29706095926720028
W	86	1	0.12295157503445162
W	87	1	0.020110451839400648
W	88	1	0.12698820320014009
W	89	1	0.065167369650602588
W	90	1	0.14348182195066825
W	91	1	0.68023954416188803
W	92	1	0.39334684838028305
W	93	1	0.1448533717532961
W	94	1	0.50280105600894021
W	95	1	0.53998183017709789
W	96	1	0.21599887988510555
W	1	2	0.36677423410812698
W	2	2	0.31261191258035731
W	3	2	0.081085484056185292
W	4	2	0.09335682753310863
W	5	2	0.11218869915870219
W	6	2	0.37180100098565466
W	7	2	0.068174377780708978
W	8	2	0.19984269812978753
W	9	2	0.14363070458335234
W	10	2	0.027924964810280312
W	11	2	0.020810170343647981
W	12	2	0.27758340323063424
W	13	2	0.26953822293208557
W	14	2	2.2204460492503131e-16
